From,To,DX,DY,DZ,"(DX, DX)","(DX, DY)","(DX, DZ)","(DY, DY)","(DY, DZ)","(DZ, DZ)"
,,[m],[m],[m],[m2],[m2],[m2],[m2],[m2],[m2]
04YU07,N4,91.7153,-181.3758,-213.5110,0.000000224714,-0.000000204310,0.000000265524,0.000000653738,-0.000000306464,0.000000674143
04YU07,N5,-14.0588,-295.3451,-313.3609,0.000000134593,-0.000000257022,0.000000110134,0.000001248490,-0.000000452830,0.000000367156
05YU07,04YU07,-139.0536,-40.1789,-19.5371,0.000000130800,0.000000006932,-0.000000006932,0.000000165462,-0.000000075864,0.000000131062
05YU07,04YU07,-139.0535,-40.1785,-19.5374,0.000000252052,0.000000924364,-0.000000252052,0.000016856070,-0.000006164080,0.000002407240
05YU07,N3,-88.6343,-139.6240,-134.9663,0.000000130800,0.000000000000,0.000000000000,0.000000210065,-0.000000096923,0.000000130800
05YU07,N3,-88.6342,-139.6200,-134.9690,0.000000130800,-0.000000048658,0.000000048658,0.000000876360,-0.000000452045,0.000000292076
05YU07,N4,-47.3361,-221.5516,-233.0479,0.000000130800,-0.000000017004,0.000000017004,0.000000130800,-0.000000067754,0.000000130800
05YU07,N4,-47.3369,-221.5499,-233.0525,0.000000130800,-0.000000024460,0.000000036755,0.000000306595,-0.000000232955,0.000000245250
05YU07,N5,-153.1096,-335.5271,-332.8965,0.000000130800,-0.000000034924,0.000000034924,0.000000185998,-0.000000127792,0.000000197639
05YU07,N5,-153.1115,-335.5252,-332.8988,0.000000130800,0.000000007586,-0.000000015304,0.000000175403,-0.000000167816,0.000000274680
05YU07,N6,-314.9610,-226.9782,-189.6880,0.000000130800,0.000000008633,-0.000000026029,0.000000155783,-0.000000112488,0.000000224976
200642,04YU07,368.1654,-28.4069,-87.2466,0.000000241457,-0.000000120728,0.000000150943,0.000000754716,-0.000000392400,0.000000815015
200642,04YU07,368.1728,-28.4005,-87.2426,0.000000130800,-0.000000045649,0.000000068408,0.000000319414,-0.000000159707,0.000000433340
200642,05YU07,507.2248,11.7726,-67.7043,0.000000193322,-0.000000116020,0.000000116020,0.000000425231,-0.000000270625,0.000000676498
200642,05YU07,507.2238,11.7655,-67.7062,0.000000130800,-0.000000046172,0.000000046172,0.000000300578,-0.000000161800,0.000000231124
200642,N3,418.5929,-127.8510,-202.6670,0.000000241064,-0.000000120598,0.000000150682,0.000001054770,-0.000000693109,0.000000994472
200642,N3,418.5755,-127.8428,-202.6614,0.000000360485,-0.000000382982,0.000000225238,0.000000653346,-0.000000427978,0.000000518099
200642,N4,459.8857,-209.7732,-300.7495,0.000000130800,-0.000000108956,0.000000108956,0.000000545174,-0.000000392531,0.000000654131
200642,N5,354.1093,-323.7554,-400.6098,0.000000398809,-0.000000377881,0.000000230862,0.000000671658,-0.000000440796,0.000000566756
200642,N5,354.1033,-323.7524,-400.5918,0.000000130800,-0.000000041725,0.000000041725,0.000000305810,-0.000000250220,0.000000403126
200642,N6,192.2621,-215.2184,-257.3955,0.000000130800,-0.000000076649,0.000000076649,0.000000444197,-0.000000245119,0.000000306334
200642,N6,192.2572,-215.2001,-257.3874,0.000000130800,-0.000000071417,0.000000071417,0.000000393054,-0.000000285929,0.000000482390
200644,04YU07,-2.4655,-173.7185,-183.0773,0.000000130800,-0.000000103332,0.000000103332,0.000000221575,-0.000000125568,0.000000184559
200644,04YU07,-2.4598,-173.7138,-183.0663,0.000000130800,-0.000000023152,0.000000000000,0.000000451129,-0.000000231385,0.000000196723
200644,05YU07,136.5919,-133.5293,-163.5429,0.000000286321,-0.000000445374,0.000000222622,0.000001765410,-0.000000588469,0.000000620254
200644,05YU07,136.5932,-133.5279,-163.5407,0.000000130800,-0.000000028907,0.000000028907,0.000000144796,-0.000000086851,0.000000144796
200644,200642,-370.6380,-145.3027,-95.8339,0.000000130800,-0.000000039894,0.000000039894,0.000000338772,-0.000000199208,0.000000258984
200644,N3,47.9466,-273.1451,-298.5008,0.000000130800,-0.000000135640,0.000000067885,0.000000316536,-0.000000147019,0.000000158268
200644,N4,89.2415,-355.0809,-396.5892,0.000000130800,-0.000000068016,0.000000051012,0.000000288937,-0.000000102024,0.000000170040
200644,N5,-16.5142,-469.0749,-496.4323,0.000000737189,-0.000000944507,0.000000614368,0.000001865990,-0.000001374580,0.000001535850
200644,N5,-16.5151,-469.0708,-496.4347,0.000000250874,-0.000000346358,0.000000215035,0.000000716784,-0.000000525554,0.000000585330
200644,N5,-16.5306,-469.0599,-496.4379,0.000000130800,0.000000000000,0.000000000000,0.000000130800,-0.000000114973,0.000000188221
200644,N6,-178.3620,-360.5214,-353.2229,0.000000152513,-0.000000203394,0.000000101632,0.000000457538,-0.000000223668,0.000000223668
N3,04YU07,-50.4177,99.4442,115.4278,0.000000130800,-0.000000027860,0.000000027860,0.000000166901,-0.000000144665,0.000000233609
N4,04YU07,-91.7149,181.3750,213.5098,0.000000213727,-0.000000202478,0.000000112488,0.000000371341,-0.000000247604,0.000000348844
N4,200642,-459.8795,209.7695,300.7519,0.000000265524,-0.000000221183,0.000000176972,0.000001283150,-0.000000619469,0.000001106180
N4,200644,-89.2533,355.0842,396.5846,0.000000130800,-0.000000047480,0.000000059252,0.000000320198,-0.000000260946,0.000000438834
N4,N3,-41.2966,81.9277,98.0845,0.000000130800,-0.000000075995,0.000000063307,0.000000253229,-0.000000164546,0.000000405088
N4,N3,-41.2968,81.9342,98.0832,0.000000139040,-0.000000148981,0.000000089336,0.000000347536,-0.000000158791,0.000000188614
N4,N5,-105.7774,-113.9711,-99.8486,0.000000336941,-0.000000461070,0.000000283705,0.000001028480,-0.000000673882,0.000000726986
N4,N5,-105.7706,-113.9719,-99.8465,0.000000135901,0.000000034008,-0.000000017004,0.000000560609,-0.000000135901,0.000000373696
N4,N6,-267.6214,-5.4319,43.3606,0.000000390307,-0.000000490762,0.000000312220,0.000000947908,-0.000000691409,0.000000780614
N4,N6,-267.6211,-5.4301,43.3588,0.000000130800,-0.000000012426,-0.000000024852,0.000000224060,-0.000000149374,0.000000448121
N6,N3,226.3243,87.3613,54.7227,0.000000130800,-0.000000031915,0.000000031915,0.000000207318,-0.000000127530,0.000000175403
N6,N3,226.3263,87.3594,54.7237,0.000000130800,-0.000000037540,0.000000046957,0.000000225499,-0.000000122167,0.000000291292
N6,N5,161.8497,-108.5464,-143.2054,0.000000130800,-0.000000044341,0.000000055459,0.000000432294,-0.000000321376,0.000000454399
N6,N5,161.8475,-108.5447,-143.2083,0.000000130800,-0.000000050750,0.000000050750,0.000000345181,-0.000000182728,0.000000233478
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
